title;snippet
IMF Chief Urges U.K., EU to Ensure Smooth Transition After 'Brexit' Vote;"WASHINGTON -- The head of the International Monetary Fund on Friday called the U.K. and the European Union to work together to clarify the terms of their new relationship after Britain's decision to leave the bloc, and said the emergency lender stands ready to help members in need.

""We urge the authorities in the U.K. and Europe to work collaboratively to ensure a smooth transition to a new economic relationship between the U.K. and the EU,"" IMF Managing Director Christine Lagarde said as the U.K.'s vote to leave the EU roiled markets across the globe.

"
Britain's EU Referendum: Next Step: Negotiate Terms;"LONDON -- The U.K. and the European Union now must navigate an unprecedented separation while trying to prevent political and economic turmoil.

Thursday's vote marks the beginning of the end for the U.K.'s 43-year involvement in European political and economic integration.

"
World News: Regime Bombs Follow Aid Into Besieged Syria Towns;"Hours after an aid convoy delivered the first food assistance to the besieged Damascus suburb of Daraya in three years, Syrian regime forces unleashed a hail of bombs and mortars.

Since that delivery on June 10, more than 300 barrel bombs -- oil drums packed with explosives -- have rained down on the rebel-held town, local officials and residents said. It is a practice that, with a recent increase in aid, has become more visible: When the regime grants access to humanitarian-relief groups in areas it is besieging, the gesture is often closely followed by punishment.

"
World News: Court Affirms Europe Bank's Bond-Buying --- German ruling ends legal challenge to 2012 program seen to have restored faith in euro;"FRANKFURT -- Germany's top court ruled that an unlimited bond-buying program created by the European Central Bank at the height of Europe's debt crisis complies with German law, ending a yearslong legal challenge to a program credited with easing fears of a breakup of the currency zone.

The verdict on Tuesday is an important victory for ECB President Mario Draghi over his German critics at a time of renewed tensions between the ECB and Germany, its biggest shareholder.

"
PBOC Reaction to U.K. Result May Be Swift: ANZ -- Brexit Market Talk;"0435 GMT [Dow Jones] Although the outcome of the U.K. referendum is unlikely to affect China's immediate economic outlook, ANZ says it keeps in play one more additional RRR cut. ""China can exhibit its status as a global citizen and signal its willingness to lift market sentiment due to Brexit,"" it adds. This morning we have seen a significant increase in market volatility globally and we wouldn't overlook any PBOC action this weekend, ANZ adds. (james.glynn@wsj.com; Twitter @JamesGlynnWSJ)

Editor: PJK

"
ASIA DAILY FOREX OUTLOOK: Predicted Ranges;"The following are projected trading ranges and outlooks for nine major currency pairs today:

Immediate Range Larger Range

"
Rising Margins Spurring on China Copper Output -- Market Talk;"0714 GMT [Dow Jones] China's copper production may rise because of better margins derived from favorable costs for smelters for processing copper concentrate. The nation's refined copper production in May rose 4% year-on-year and by 10% during January-May compared to a year ago, says an Argonaut Securities report. Plunging copper prices had forced several copper producers in China to announce plans for output cuts towards the end of last year. Any concerns about rising copper production in China, a leading producer, adding to excess supplies that may be offset by the nation's decreasing imports of the red metal as well as falling inventories at commodity exchanges, says Argonaut. (biman.mukherji@wsj.com)

Editor JSM

"
U.S. News: Water Leaks Drain Cities --- Brittle, aging systems lose trillions of gallons a year and result in damaging breaks;"Cash-strapped cities are contending with aging, leak-prone water systems that waste trillions of gallons a year and result in damaging breaks.

Hoboken, N.J., across the Hudson River from New York City, has shelled out $2.8 million since 2009 on emergency repairs to its crumbling pipes. The city of 55,000 residents covers just 1.28 square miles but sees 25water-pipe breaks a year on average.

"
Turkey Cuts a Key Interest Rate for Fourth Successive Month;"ISTANBUL--Turkey's central bank cut a key interest rate for a fourth consecutive month Tuesday on the back of lira stability and slowing inflation, continuing to loosen its monetary policy ahead of the U.K. referendum which could weigh on the currency if Britain votes to leave the European Union.

The Monetary Policy Committee in Ankara said it cut the overnight lending rate to 9% from 9.5%, while keeping its benchmark one-week repo rate steady at 7.5% and its overnight borrowing rate at 7.25%.

"
Accused Manager At Visium Found Dead;"Hedge-fund manager Sanjay Valvani, charged last week in one of the most significant insider-trading prosecutions in recent months, was found dead in his home Monday evening, an apparent suicide, authorities said.

Mr. Valvani, 44 years old, was found by his wife in the bedroom of their Brooklyn home with a slash wound to his neck, said a New York Police Department spokesman. He was pronounced dead around 6:30 p.m.

"
New Corporate Strategy: Empathy --- More companies are emphasizing the trait in developing both managers, products;"BRIDGEVILLE, Pa. -- Until recently, Aaron Gibson wouldn't have called himself an empathetic boss. He considered himself a ""no-nonsense"" leader with high standards. But some employees cited his blunt and brusque manner when they quit the three local YMCAs he runs.

Mr. Gibson changed his style after a recent leadership workshop at a consultancy here, where he and other leaders got a crash course about leading with empathy.

"
Overhauls Needed in EU in Wake of UK Leave Vote -- Brexit Market Talk;"Poland's Deputy Prime Minister suggests overhauls in the EU are needed in the wake of the U.K.'s vote to leave the bloc. ""We'll have to reinvent the EU. Brexit is a result of too much interference from Brussels in internal matters of nation states."" said Jaroslaw Gowin, according to comments posted on his Twitter account. More than 800,000 Poles live in the U.K; most aren't U.K. citizens. (martin.sobczyk@wsj.com)

(END) Dow Jones Newswires

"
Will EIA Oil Data Match API's Bullishness? -- Market Talk;"8:18 ET - An across-the-board bullish report on US oil and petroleum product inventories late Tuesday from private trade group API has helped push WTI oil prices back to $50/bbl. Traders, however, are somewhat reluctant to keep sending it higher until they see confirmation from today's official EIA data. Last week the API report showed bearish increases in both crude oil and gasoline inventories, while the EIA numbers then surprised with declines in both. For months now, the API report has been becoming less-in-tune with the EIA data, making for plenty of price swings between Tuesday afternoon and late Wednesday morning. (dan.molinski@wsj.com)

(END) Dow Jones Newswires

"
Business News: Argentina Resolves Dispute Over Biotech-Seed Royalties;"Argentina's government resolved a dispute over genetically modified seeds that will permit biotech companies like Monsanto Co. to collect royalties on crop genes.

The National Seed Institute, a government agency, will oversee testing of crops delivered by farmers to grain terminals, helping ensure that seed producers get paid for patented genes that help plants resist pests and herbicides, in a deal announced in Buenos Aires.

"
U.S. News: Upper Middle Class Grows, Research Finds;"A range of data after the recession and the housing bust supported the idea that only a tiny elite of U.S. society, generally seen as the top 1%, had rebounded and was doing well.

But a growing body of evidence suggests the economic expansion since the 2007-2009 financial crisis has enriched a much larger swath of the upper middle class and that a deeper income divide is developing between that top quarter or so of the population and everyone else.

"
Global Finance: Kangaroo Coin Gives Perth Mint a U.S. Hit;"SYDNEY -- The popularity in the U.S. of a silver coin emblazoned with a kangaroo has caught the Perth Mint by surprise, prompting one of the world's largest mints to accelerate an expansion to meet demand among American investors and collectors.

Sales of silver coins from the Australian mint have doubled over the past year, far outpacing growth in demand for other coins, including those made of gold and the U.S. Mint's popular silver American Eagles.

"
OFF DUTY --- Eating & Drinking -- Half Full: Bitter Truths --- Once relegated to industrial brewing, hop extracts are the secret behind some of today's briskest craft beers;"Nature scenes rule on craft beer labels -- mountains, streams, even a yeti or two. But you won't see a pressurized supercritical carbon-dioxide hop extraction chamber on a label anytime soon.

The dirty secret behind today's IPAs: There's little dirty about them. Brewers are sourcing their signature bitterness in sterile labs, not muddy hop fields.

"
Business News: Volvo Sets Aside More Money in Case of EU Fine;"STOCKHOLM -- Swedish truck maker Volvo AB said Saturday it had increased by more than 60% a provision for possible fines in connection with a European Union antitrust probe.

Volvo said it had set aside 250 million euros (about $278 million) on top of the initial 400 million euro provision it made in late 2014, adding it would book the additional amount against second-quarter earnings.

"
Will Vote Bring Any Bargains?;"Thursday's vote heard round the world incinerated hundreds of billions of dollars in shareholder wealth. That included the U.S., which has had nearly 240 years to get over its political separation from Britain. Are there babies being thrown out with the Brexit bathwater, presenting bargains for the coolheaded?

Not exactly. Investors were fairly well-informed Friday and dumped whatever seemed exposed. The main opportunity may lie in taking advantage of the overall stock market's overreaction.

"
Bed Bath & Beyond's Burden;"For a good case study of the challenges facing modern-day bricks-and-mortar retailers, investors need look no further than Bed Bath & Beyond Inc.

Bed Bath & Beyond was late to e-commerce and has recently been playing catch-up, investing in upgrading its online presence, introducing mobile apps and rolling out a new point-of-sale system. Comparable sales from digital channels rose more than 25% in its fiscal fourth quarter ended in February.

"
WSJ.D Technology: Facebook Still Seeks Entry to China;"REDWOOD CITY, Calif. -- Facebook Inc. executives Monday reiterated interest in entering China, where the world's largest social network is banned, as they answered questions at the company's annual shareholder meeting.

""We're learning, we're studying about the Chinese market and we'll see what happens,"" Chief Operating Officer Sheryl Sandberg said, adding that she was in China last week.

"
Copper Closes Higher Ahead Of 'Brexit' Referendum Results;"LONDON--Copper futures closed near a seven-week high on Thursday ahead of the results of a British vote on membership in the European Union.

The three-month copper contract on the London Metal Exchange was up 1.70% at $4,780 a metric ton at the PM kerb close.

"
"MARKET TALK: HSI Futures Up Pre-Open; Brexit Has At Upper Hand";"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
Trump No-Show Earns City's Ire In Bench Battle;"A continuing dispute over public space at Trump Tower took another turn Thursday when New York City officials fined Donald Trump $10,000 after his representatives failed to show up at a hearing to explain why a bench remained missing.

The bench, where passersby could rest, was part of a deal between the real estate mogul and the city dating to the 1970s. Mr. Trump was granted a bonus to build a bigger building in exchange for creating a public space at Trump Tower at East 56th Street and Fifth Avenue.

"
Nissan Sues Korean Govt Over Emissions Cheating Claims -- Market Talk;"0234 GMT [Dow Jones] The South Korean unit of Nissan Motor (7201.TO) has filed a lawsuit against the Seoul government over claims that the Japanese auto maker rigged emissions tests on its Qashqai diesel sport-utility vehicles. Nissan Korea filed the suit with the Seoul Administrative Court to dispute the accusations by the Ministry of Environment that the carmaker used a so-called defeat device in hundreds of the SUVs imported and sold in the country. ""There's no change in our position that we have not and [do] not employ illegal defeat or cheat devices in any of the cars that we make,"" says a Nissan Korea spokeswoman. Earlier this month, the ministry fined Nissan 340 million won ($287,000) and ordered the recall of more than 800 Qashqai vehicles sold in Korea. It has also asked prosecutors to investigate the head of Nissan's Korean operations on criminal charges of violating the country's emissions law.

"
Macy’s Stock on Sale as It Names Gennette New CEO;"[javax.xml.bind.JAXBElement@5e3b5784, javax.xml.bind.JAXBElement@713b6fa4, javax.xml.bind.JAXBElement@41124e73]

[javax.xml.bind.JAXBElement@29ef8c96, javax.xml.bind.JAXBElement@2d6c7958, javax.xml.bind.JAXBElement@700751e]

"
SEC Probes Merrill Notes That Slid;"The Securities and Exchange Commission is preparing a civil enforcement case against Merrill Lynch over an investment that fell as much as 95% in value and was marketed in a way that one of the firm's financial advisers called ""borderline crooked,"" people close to the probe said.

The expected case against the brokerage arm of Bank of America Corp. underscores some of the risks of structured notes, securities custom-built by banks out of options and other derivatives and often sold to retail investors.

"
"World News: Spanish Vote Resets Political Challenge --- Prime minister's party fares well, paving way for tough talks; surprise lift for establishment";"MADRID -- Prime Minister Mariano Rajoy's Popular Party did better than expected on its way to being the top vote-getter in national elections Sunday, but Mr. Rajoy faces the same difficulty forming a government that he confronted after inconclusive elections in December.

In an election playing out amid the turbulence from the U.K.'s vote to leave the European Union, the conservative Popular Party won 137 of parliament's 350 seats, with 99% of votes counted. That compares with 123 in the December election, which resulted in a hung parliament that couldn't choose a prime minister. The Popular Party's seat total on Sunday substantially outpaced both pre-election polls and exit polls.

"
Business News: Facebook to Train Against Bias;"Facebook Inc. will train employees to identify and check their political leanings, the company's latest step to quell concerns over the treatment of conservative viewpoints on the social network.

Chief Operating Officer Sheryl Sandberg told a Washington, D.C., audience Wednesday that Facebook plans to add a section on ""political bias,"" to its class on ""managing bias.""

"
HK Opening Gold HK$11760/Tael Vs Previous Close HK$11748/Tael;"(Tael = 1.1913 ounces)

Source: Chinese Gold & Silver Exchange Society via Thomson Reuters

"
World News: Congo Presidential Contender Gets Jail Term;"A Congolese court has sentenced presidential contender Moise Katumbi to three years in jail for illegally selling a property, intensifying the political impasse in the central African nation.

Tried in absentia, Mr. Katumbi was also ordered to pay a fine of $1 million in a verdict late Wednesday described by his lawyers as ""a miscarriage of justice"" intended to frustrate his presidential bid.

"
AWSJ Business Watch;"WYNN RESORTS

Macau Resort Delay Extends to August

"
Management -- Book Report: Job Security in Age of Automation --- Tom Davenport, co-author of 'Only Humans Need Apply ' discusses prospects for knowledge workers;"The latest waves of automation threaten professional workers who have long felt safe from job-destroying robots. But that's not a new fear.

The prospect of automating jobs has haunted workers for centuries, going back at least to the Luddites said to have destroyed textile looms in the early 19th century, write Tom Davenport and Julia Kirby in their new book ""Only Humans Need Apply"" (Harper Business).

"
Business News: H&M Fretful on U.K. Exit;"STOCKHOLM -- The chief executive of Hennes & Mauritz AB warned against the effects of the U.K.'s possible exit from the European Union, saying economic uncertainty around Thursday's referendum may have already affected the Swedish fashion-retail giant's profit.

""The clothing market in the U.K. has been poor during the first half-year in general,"" Karl-Johan Persson said in an interview on Wednesday, adding it may be in part the result of ""uncertainty connected to Brexit.""

"
Safe to Say Vote Has Derailed Fed Hikes, RBC Says -- Brexit Market Talk;"2202 GMT [Dow Jones]--There is no doubt Brexit derails the Fed hiking cycle, says RBC Capital Markets. One of the questions investors need to ask themselves is whether there is enough momentum in the U.S. economic backdrop that will enable inflation to accelerate significantly from here--thus compelling the Fed to raise rates even in the face of the uncertainty taking place across the pond, it says. It seems at present the answer to that is no. ""Thus on the heels on Brexit, it is low lying fruit to say the Fed is unlikely to hike this year,"" RBCCM adds. (james.glynn@wsj.com; Twitter @JamesGlynnWSJ)

(END) Dow Jones Newswires

"
Apple's Latest China Foe: It Exists, but Just Barely;"BEIJING -- When a Beijing regulator recently ruled against Apple Inc. in a patent dispute, it handed a victory to a Chinese company that barely exists.

Phone calls to the company, Shenzhen Baili Marketing Services Co., ring unanswered. Its websites have been deleted. Visits to its three registered addresses found no company offices.

"
"SMIC Further Dn; Pays 49m Euro For Wafers Maker";"This article was originally reported and written in Chinese and is only available in Chinese. Please refer to the Chinese article for more details.

(END) Dow Jones Newswires

"
CK Hutchison Volatile as Investors Await UK Vote Results -- Brexit Market Talk;"0302 GMT [Dow Jones] Shares of conglomerate CK Hutchison (0001.HK) are moving wildly Friday as investors fret that a 'Brexit' would harm the company's investments in the U.K. The stock is up as much as 2.4% in the early morning session but soon turned negative to fell up to 3.6%, as the latest U.K. vote count shows the 'Leave' camp ahead. As one of the U.K.'s major investors, CK Hutchison generated around 46% of the group's HK$396.09 billion revenue from Europe in 2015, of which U.K. accounted for 21%, according to the company's latest annual report. Li Ka-shing, CK Hutchison Chairman and Hong Kong's richest man, had warned of scaling back investments in the U.K. if Britain were to vote to exit the EU. The stock is down 2.6% at HK$89.25 and is among the top 10 traded stocks in market volumes. Meanwhile, the benchmark Hang Seng Index is down 3.6% at 20,127. (joanne.chiu@wsj.com, Twitter: @joannechiuhk)

Editor: JFN

"
